"Lake","Species","Morph_ID","Morph_zone","Morph_diet","Source","Evidence"
"Timerliit2","Salvelinus_alpinus","Timerliit2_PI","","piscivore","01C","mix of ecological, morphological, behavioural traits"
"Tinnsjoen","Salvelinus_alpinus","Tinnsjoen_abyssal","profundal","","01D","morphology; location of capture; stomach contents"
"Tinnsjoen","Salvelinus_alpinus","Tinnsjoen_dwarf","profundal","","01D","morphology; location of capture; stomach contents"
"Tinnsjoen","Salvelinus_alpinus","Tinnsjoen_PI","profundal","piscivore","01D","morphology; location of capture; stomach contents"
"Tinnsjoen","Salvelinus_alpinus","Tinnsjoen_PL","generalist","planktivore","01D","morphology; location of capture; stomach contents"
"Tjaerebukta","Coregonus_lavaretus","Tjaerebukta_DR","pelagic","planktivore","96A","gill rakers; stomach contents; location of capture"
"Tjaerebukta","Coregonus_lavaretus","Tjaerebukta_LSR","littoral/benthic","benthivore","96A","gill rakers; stomach contents; location of capture"
"Tjaerebukta","Coregonus_lavaretus","Tjaerebukta_SSR","profundal","benthivore","96A","gill rakers; stomach contents; location of capture"
"Tokko","Salvelinus_alpinus","Tokko_D","","benthivore","49C","body size distributions; morphology; stomach contents; table in 49C"
"Tokko","Salvelinus_alpinus","Tokko_L","","piscivore","49C","body size distributions; morphology; stomach contents; table in 49C"
"Tokko","Salvelinus_alpinus","Tokko_S","","benthivore","49C","body size distributions; morphology; stomach contents; table in 49C"
"Topolovoe","Salvelinus_malma","Topolovoe_large","","piscivore","03C","stomach contents; morphology"
"Topolovoe","Salvelinus_malma","Topolovoe_norm","","generalist invertivore","03C","stomach contents; morphology"
"Vaggatem","Coregonus_lavaretus","Vaggatem_DR ","pelagic","planktivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Vaggatem","Coregonus_lavaretus","Vaggatem_SR","littoral/benthic","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Vangsvatnet","Salvelinus_alpinus","Vangsvatnet_dwarf","profundal","","96C","morphology; location of capture"
"Vangsvatnet","Salvelinus_alpinus","Vangsvatnet_norm","pelagic","","96C","morphology; location of capture"
"Vatnshlidar","Salvelinus_alpinus","Vatnshlidar_brown","littoral/benthic","","18A","morphology; stable isotopes; location of capture"
"Vatnshlidar","Salvelinus_alpinus","Vatnshlidar_silver","littoral/benthic","","18A","morphology; stable isotopes; location of capture"
"Vuoddas","Coregonus_lavaretus","Vuoddas_DR","pelagic","planktivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Vuoddas","Coregonus_lavaretus","Vuoddas_LSR","littoral/benthic","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Vuoddas","Coregonus_lavaretus","Vuoddas_SSR","profundal","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Vuolgamas","Coregonus_lavaretus","Vuolgamas_DR","pelagic","planktivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Vuolgamas","Coregonus_lavaretus","Vuolgamas_LSR","littoral/benthic","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Vuolgamas","Coregonus_lavaretus","Vuolgamas_SSR","profundal","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Walen","Coregonus_lavaretus","Walen_duplex","","","126A","depth; gill rakers; stable isotopes"
"Walen","Coregonus_lavaretus","Walen_heglingus","","","126A","depth; gill rakers; stable isotopes"
"Webster","Coregonus_clupeaformis","Webster_dwarf","pelagic","","108B","gill rakers; morphology; description in 108B"
"Webster","Coregonus_clupeaformis","Webster_norm","littoral/benthic","","108B","gill rakers; morphology; description in 108B"
"Zurich","Coregonus_lavaretus","Zurich_duplex","","","126A","depth; gill rakers; stable isotopes"
"Zurich","Coregonus_lavaretus","Zurich_heglingus","","","126A","depth; gill rakers; stable isotopes"
