Paper_ID,Full_Paper_ID,Reference
01C,01C-Doenz2019,"Doenz, C. J., A. K. Krähenbühl, J. Walker, O. Seehausen, and J. Brodersen. 2019. Ecological opportunity shapes a large Arctic charr species radiation. Proceedings of the Royal Society B: Biological Sciences 286:20191992."
01D,01D-Ostbye2019,"Østbye, K., M. Hagen Hassve, A. M. Peris Tamayo, M. Hagenlund, T. Vogler, and K. Præbel. 2020. “And if you gaze long into an abyss, the abyss gazes also into thee”: four morphs of Arctic charr adapting to a depth gradient in Lake Tinnsjøen. Evolutionary Applications 13:1240–1261."
03C,03C-Esin2019,"Esin, E. V., and G. N. Markevich. 2019. Parallel late ontogeny transformations in contrasting landlocked phenotypes of Salvelinus malma (Salmonidae) from small volcanic lakes. Ecology of Freshwater Fish 28:624–638."
04C,04C-PietteLauziere2019,"Piette-Lauzière, G., A. H. Bell, M. S. Ridgway, and J. Turgeon. 2019. Evolution and diversity of two cisco forms in an outlet of glacial Lake Algonquin. Ecology and Evolution 9:9654–9670."
06C,06C-Zubova2018,"Zubova, E. M., N. A. Kashulin, P. M. Terentjev, S. A. Valkova, A. A. Cherepanov, and S. V. Postnova. 2018. New data on morphological features of the branchial apparatus of sparsely rakered and medium rakered morphs of whitefish ?oregonus lavaretus (L.) from the largest subarctic lake. Inland Water Biology 11:465–476."
08C,08C-Doenz2018,"Doenz, C. J., D. Bittner, P. Vonlanthen, C. E. Wagner, and O. Seehausen. 2018. Rapid buildup of sympatric species diversity in Alpine whitefish. Ecology and Evolution 8:9398–9412."
104A,104A-Siwertsson2013,"Siwertsson, A., R. Knudsen, C. E. Adams, K. Præbel, and P. A. Amundsen. 2013. Parallel and non-parallel morphological divergence among foraging specialists in European whitefish (Coregonus lavaretus). Ecology and Evolution 3:1590–1602."
107A,107A-Chavarie2013,"Chavarie, L., K. L. Howland, and W. M. Tonn. 2013. Sympatric polymorphism in lake trout: The coexistence of multiple shallow-water morphotypes in great bear lake. Transactions of the American Fisheries Society 142:814–823."
108A,108A-Siwertsson2013,"Siwertsson, A., R. Knudsen, K. Præbel, C. E. Adams, J. Newton, and P. A. Amundsen. 2013. Discrete foraging niches promote ecological, phenotypic, and genetic divergence in sympatric whitefish (Coregonus lavaretus). Evolutionary Ecology 27:547–564."
108B,108B-Laporte2015,"Laporte, M., S. M. Rogers, A. M. Dion-Côté, E. Normandeau, P. A. Gagnaire, A. C. Dalziel, J. Chebib, et al. 2015. RAD-QTL mapping reveals both genome-level parallelism and different genetic architecture underlying the evolution of body shape in lake Whitefish (Coregonus clupeaformis) species pairs. G3: Genes, Genomes, Genetics 5:1481–1491."
118A,118A-Woods2012,"Woods, P. J., S. Skúlason, S. S. Snorrason, B. K. Kristjánsson, H. J. Malmquist, and T. P. Quinn. 2012. Intraspecific diversity in arctic charr, salvelinus alpinus, in iceland: I. detection using mixture models. Evolutionary Ecology Research 14:973–992."
