Paper_ID,Full_Paper_ID,Reference
01C,01C-Doenz2019,"Doenz, C. J., A. K. KrŠhenbŸhl, J. Walker, O. Seehausen, and J. Brodersen. 2019. Ecological opportunity shapes a large Arctic charr species radiation. Proceedings of the Royal Society B: Biological Sciences 286:20191992."
01D,01D-Ostbye2019,"¯stbye, K., M. Hagen Hassve, A. M. Peris Tamayo, M. Hagenlund, T. Vogler, and K. Pr¾bel. 2020. ÒAnd if you gaze long into an abyss, the abyss gazes also into theeÓ: four morphs of Arctic charr adapting to a depth gradient in Lake Tinnsj¿en. Evolutionary Applications 13:1240Ð1261."
03C,03C-Esin2019,"Esin, E. V., and G. N. Markevich. 2019. Parallel late ontogeny transformations in contrasting landlocked phenotypes of Salvelinus malma (Salmonidae) from small volcanic lakes. Ecology of Freshwater Fish 28:624Ð638."
04C,04C-PietteLauziere2019,"Piette-Lauzire, G., A. H. Bell, M. S. Ridgway, and J. Turgeon. 2019. Evolution and diversity of two cisco forms in an outlet of glacial Lake Algonquin. Ecology and Evolution 9:9654Ð9670."
06C,06C-Zubova2018,"Zubova, E. M., N. A. Kashulin, P. M. Terentjev, S. A. Valkova, A. A. Cherepanov, and S. V. Postnova. 2018. New data on morphological features of the branchial apparatus of sparsely rakered and medium rakered morphs of whitefish ?oregonus lavaretus (L.) from the largest subarctic lake. Inland Water Biology 11:465Ð476."
08C,08C-Doenz2018,"Doenz, C. J., D. Bittner, P. Vonlanthen, C. E. Wagner, and O. Seehausen. 2018. Rapid buildup of sympatric species diversity in Alpine whitefish. Ecology and Evolution 8:9398Ð9412."
104A,104A-Siwertsson2013,"Siwertsson, A., R. Knudsen, C. E. Adams, K. Pr¾bel, and P. A. Amundsen. 2013. Parallel and non-parallel morphological divergence among foraging specialists in European whitefish (Coregonus lavaretus). Ecology and Evolution 3:1590Ð1602."
107A,107A-Chavarie2013,"Chavarie, L., K. L. Howland, and W. M. Tonn. 2013. Sympatric polymorphism in lake trout: The coexistence of multiple shallow-water morphotypes in great bear lake. Transactions of the American Fisheries Society 142:814Ð823."
108A,108A-Siwertsson2013,"Siwertsson, A., R. Knudsen, K. Pr¾bel, C. E. Adams, J. Newton, and P. A. Amundsen. 2013. Discrete foraging niches promote ecological, phenotypic, and genetic divergence in sympatric whitefish (Coregonus lavaretus). Evolutionary Ecology 27:547Ð564."
108B,108B-Laporte2015,"Laporte, M., S. M. Rogers, A. M. Dion-C™tŽ, E. Normandeau, P. A. Gagnaire, A. C. Dalziel, J. Chebib, et al. 2015. RAD-QTL mapping reveals both genome-level parallelism and different genetic architecture underlying the evolution of body shape in lake Whitefish (Coregonus clupeaformis) species pairs. G3: Genes, Genomes, Genetics 5:1481Ð1491."
118A,118A-Woods2012,"Woods, P. J., S. Skœlason, S. S. Snorrason, B. K. Kristj‡nsson, H. J. Malmquist, and T. P. Quinn. 2012. Intraspecific diversity in arctic charr, salvelinus alpinus, in iceland: I. detection using mixture models. Evolutionary Ecology Research 14:973Ð992."
122A,122A-GardunoPaz2012,"Gardu–o-Paz, M. V., C. E. Adams, E. Verspoor, D. Knox, and C. Harrod. 2012. Convergent evolutionary processes driven by foraging opportunity in two sympatric morph pairs of Arctic charr with contrasting post-glacial origins. Biological Journal of the Linnean Society 106:794Ð806."
